Company,Title,Location,Salary
metacareers,Infrastructure Materials Manager,"Fremont, CA; Remote, US","$113,000/year to $160,000/year + bonus + equity + benefits"
metacareers,Corporate FP&A Manager,"Bellevue, WA; Austin, TX; Menlo Park, CA; New York, NY; San Francisco, CA; Remote, US","$168,000/year to $234,000/year + bonus + equity + benefits"
metacareers,"Program Manager, Strategy Lead, Resource Planning & Development","Remote, US","$143,000/year to $199,000/year + bonus + equity + benefits"
metacareers,"Manager, TPM Depth Team, Reality Labs","Sunnyvale, CA; Redmond, WA; Remote, US","$167,000/year to $228,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Sensor Hardware (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Perceptual Audio Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Sensor Data Analysis (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Sensor Algorithms (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,SiteOps Global Systems Engineer,"Los Lunas, NM; US - NM - Los Lunas Data Center; Sarpy County, NE; Henrico, VA; Mesa, AZ; Kansas City, MO; Dallas, TX; Santa Clara, CA; US - NM - Valencia County Data Center; Ashburn, VA; Temple, TX; Newton County, GA; US - OR - Hillsboro Data Ctr; Gallatin, TN; Reston, VA; Forest City, NC; Prineville, OR; Fort Worth, TX; DeKalb, IL; Chicago, IL; Altoona, IA; Fremont, CA; Huntsville, AL; Eagle Mountain, Utah; US - TX - Houston Data Center; Kuna, ID","$124,000/year to $191,000/year + bonus + equity + benefits"
metacareers,Gameplay Programmer - Sanzaru,"Foster City, CA; Remote, US","$129,000/year to $184,000/year + bonus + equity + benefits"
metacareers,Lead Electrical Subject Matter Expert,"DeKalb, IL","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Audio User Experience (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,SiteOps Data Center Production Operations Engineer,"Ashburn, VA","$66,560/year to $99,840/year + bonus + equity + benefits"
metacareers,Campus Construction Manager,"Kansas City, MO; Forest City, NC; DeKalb, IL; Altoona, IA; Eagle Mountain, Utah","$170,000/year to $228,000/year + bonus + equity + benefits"
metacareers,Critical Facility Engineer,"Prineville, OR","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Director, Camera & Depth Sub-module Engineering, Cameras & Depth, RL","Sunnyvale, CA; Redmond, WA","$243,000/year to $305,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Circuit-Architecture Co-design (PhD)","Sunnyvale, CA","$7,313/month to $10,250/month + benefits"
metacareers,"Network Infrastructure Engineer, Global Design and Construction","Los Lunas, NM; US - NM - Los Lunas Data Center; Mesa, AZ; Kansas City, MO; Temple, TX; Newton County, GA; Prineville, OR; New Albany, OH; Huntsville, AL; Eagle Mountain, Utah","$132,000/year to $190,000/year + bonus + equity + benefits"
metacareers,"Manager, Mechanical Engineering Data Center Product Development & Integration","Fremont, CA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Lab Manager,"Redmond, WA","$196,000/year to $269,000/year + bonus + equity + benefits"
metacareers,"Contracts Manager, Delivery","Remote, US","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,Generator Subject Matter Expert,"Altoona, IA","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,"Director, Data Center Construction- APAC",Singapore Data Center; Singapore,"Director,
Data Center Construction- APAC

Meta is seeking an experienced Director to join our DataCenter Engineering & Construction Team. Our data centers are the foundation upon which our rapidly scaling infrastructure efficiently operates and upon which our innovative services are delivered. Building, operating and retrofitting data centers the ""right"" way is synonymous with ensuring high uptime, capacity availability and capital conservation. The Datacenter Engineering and Construction (DEC) team thinks from chip to chiller (or electrical substation), determining configurations and ensuring maximum efficiency of our compute infrastructure, and the DEC Delivery team is committed to continual optimization of the delivery process at each level.   

The DEC Delivery organization and its sub teams operate in a matrix team structure and the Director will have the Data Center Delivery responsibility within our APAC Region for new build and retrofit construction project success (to include all data cabling infrastructure), GC and trade partner relationships and team member development.  Further, the Director will work with cross functional partners to foster governmental agency and owner furnished equipment vendor collaboration and relationships, as well as relationship management with key cross functional operational partners (Facilities Operations, Edge Network Services and Facilities Engineering to name a few) across the region in a culture of collaboration, safety and quality unparalleled in the datacenter construction industry.  

The Director is responsible for $1M- $4B project sizes managing a team of 6 - 8 direct reports (flexible based on demand) and leading a team of matrixed Safety, QAQC and Project Controls (Cost + Schedule) professionals at site toward predictable outcomes."
metacareers,Finance Operations Analyst,"Fremont, CA; Remote, US","$138,000/year to $196,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Photorealistic Telepresence (PhD) | Stagiaire en recherche scientifique, Téléprésence photoréaliste (PhD)","Toronto, Canada",
metacareers,Energy Program Manager,"Remote, US","$121,000/year to $172,000/year + bonus + equity + benefits"
metacareers,Programme de résidence en IA (diplômé(e) universitaire) | Programme de résidence en IA (diplômé(e) universitaire),"Montreal, Canada",
metacareers,Global Facility Operations Reliability Engineer ,"Remote, US","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Neural/Inverse Rendering Algorithm (PhD)","Redmond, WA","$7,500/month to $10,250/month + benefits"
metacareers,"Visiting Researcher, AI Mentorship Program, NYU (University Grad)","New York, NY","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Network Engineer, Deployment & Support","Los Lunas, NM; US - NM - Los Lunas Data Center; Ashburn, VA","$132,000/year to $190,000/year + bonus + equity + benefits"
metacareers,Data Center Production Operations Engineer,"Altoona, IA","$83,200/year to $122,720/year + bonus + equity + benefits"
metacareers,"UX Researcher, Mixed Methods","Los Angeles, CA; Bellevue, WA; Menlo Park, CA; Seattle, WA; Burlingame, CA; New York, NY; San Francisco, CA; Fremont, CA; Remote, US","$123,000/year to $169,000/year + bonus + equity + benefits"
metacareers,"VP, Head of Silicon, Reality Labs","Sunnyvale, CA","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Research Scientist Intern, AI Graphics (PhD)","Pittsburgh, PA","$7,650/month to $10,250/month + benefits"
metacareers,AI Research Scientist - Neuromotor Interfaces (Technical Leadership),"Burlingame, CA; New York, NY","$205,000/year to $281,000/year + bonus + equity + benefits"
metacareers,"Visiting Researcher, AI Mentorship Program, CMU (University Grad)","Pittsburgh, PA","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,Mechanical Subject Matter Expert,"Papillion, NE","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,Device Integration Lead,"Cork, Ireland",
metacareers,"Hardware Product Design TPM, AR/VR products","Sunnyvale, CA; New York, NY","$132,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Connectivity Engineer,"Kuna, ID","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Electrical Engineer, Data Center Equipment Strategy","Fremont, CA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Material Engineer,"Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Neuromotor Interfaces: Computational Modeling (PhD)","Burlingame, CA; New York, NY","$7,650/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Algorithms for Motion Sensors (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,Electrical Subject Matter Expert,"Prineville, OR","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,"DTC Sales Manager, Accessories ","Burlingame, CA","$152,000/year to $214,000/year + bonus + equity + benefits"
metacareers,Product Designer - Reality Labs,"Burlingame, CA; Seattle, WA","$189,000/year to $260,000/year + bonus + equity + benefits"
metacareers,"Product Marketing Manager, Software Experiences - Reality Labs","Burlingame, CA; New York, NY; Seattle, WA; Remote, US","$154,000/year to $216,000/year + bonus + equity + benefits"
metacareers,Mechanical Subject Matter Expert,"Gallatin, TN","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,"Privacy Program Manager, Product","Menlo Park, CA; Seattle, WA; New York, NY; Remote, US","$157,000/year to $217,000/year + bonus + equity + benefits"
metacareers,Critical Facility Engineer,"Los Lunas, NM; US - NM - Los Lunas Data Center; US - NM - Valencia County Data Center","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,AI Research Scientist Intern - Machine Perception for Input and Interaction(PhD),"Zurich, Switzerland",
